instances,AG,RS
N1C1W1_R,0.9953887462615967,0.159088134765625
N2C1W2_Q,2.6540088653564453,0.33510589599609375 
N3C3W1_A,3.9704411029815674,0.486696720123291 
N4C1W2_H,35.83580303192139,2.263460636138916 
N1W1B1R0,1.1060643196105957,0.08078432083129883
N2W4B3R0,0.9804198741912842,0.15509414672851562 
N3W4B1R0,2.3497214317321777,0.40790891647338867
N4W4B3R9,9.39315414428711,0.7888913154602051
HARD0,4.14554762840271,0.3700110912322998 
HARD2,4.274748802185059,0.3271205425262451 
Falkenauer_u1000_00,95.98932957649231,2.4519519805908203 
Falkenauer_u1000_19,101.76093935966492,2.404531955718994
